title,views,published,length
Building a Linux Distro From Scratch: WiFi Drivers & Firmware,127,2 days ago,53:37
Building a Linux Distro From Scratch: Compiling & Installing Golang,153,5 days ago,31:12
Building a Linux Distro From Scratch: DHCP Networking,224,6 days ago,42:00
Building a Linux Distro From Scratch: BusyBox & Root File System,224,8 days ago,18:19
Building a Linux Distro From Scratch: Compiling Linux Kernel,678,9 days ago,31:05
Building a Linux Distro From Scratch: Intro & Demo,259,11 days ago,28:06
You can endlessly watch the flame burns; the water flows and the Linux Kernel compiles,605,13 days ago,32:23
How to create a bootable Linux ISO image with patched initramfs,235,2 weeks ago,32:50
I Reinvented VIM,584,3 weeks ago,15:29
The Standard Linux Text Editor In Go,123,3 weeks ago,17:33
Recursive Descent Parsing Explained In Code,96,1 month ago,31:24
Realistic emulation of a retro terminal with CRT screen,428,1 month ago,12:36
Linux ED + syntax highlighting + readline | rlwrap & pygmentize,78,1 month ago,7:57
Ed; Ex; Vim... and Ed: The roots of text editing,135,1 month ago,33:37
Programming a BASIC Interpreter in Python:  Interactive User Interface,143,1 month ago,15:17
Programming a BASIC Interpreter in Python:  The All Mighty GOTO,75,1 month ago,14:03
Programming a BASIC Interpreter in Python: IF Statement,323,1 month ago,9:37
Programming a BASIC Interpreter in Python: LET Statement,37,1 month ago,7:31
Programming a BASIC Interpreter in Python: PRINT Statement,69,1 month ago,17:58
Programming a BASIC Interpreter in Python: Variables,67,1 month ago,6:37
Programming a BASIC Interpreter in Python: Evaluating Expressions,164,1 month ago,19:20
Programming a BASIC Interpreter in Python: Intro & Demo,935,1 month ago,5:07
Micro Core & Services Explained In Code,111,1 month ago,31:31
YouTube Programming Tutorial Automation,221,1 month ago,3:03
Unix Philosophy Explained In Code,954,1 month ago,26:07
I made an Old School File Manager,177,1 month ago,6:47
How to send Email with Python: GMAIL ( App passwords ) + SSL + SMTP [ NO Gmail API; NO Oauth2 ],195,1 month ago,7:10
Programming a ChatGPT command line interface with Syntax Highlighting in Python,126,1 month ago,24:12
Programming a Text Editor in Go - GNU sed integration on Linux & Windows,528,1 month ago,34:41
Programming a Text Editor in Go - Syntax Highlighting,322,1 month ago,28:53
Programming a Text Editor in Go - Copy/Paste; Undo/Redo,54,1 month ago,15:08
Programming a Text Editor in Go - Minimum Viable Product,749,1 month ago,11:05
Programming a Text Editor in Go - Insert Lines,42,1 month ago,9:26
Programming a Text Editor in Go - Delete Characters,93,1 month ago,16:27
Programming a Text Editor in Go - Insert Characters,58,1 month ago,14:36
Programming a Text Editor in Go - Scrolling & Navigation,84,1 month ago,26:33
Programming a Text Editor in Go - Status Bar,173,1 month ago,22:36
Programming a Text Editor in Go - Read File,66,1 month ago,11:26
Programming a Text Editor in Go - Display Text Buffer,179,1 month ago,20:50
Programming a Text Editor in Go - Initializing Termbox,348,1 month ago,7:54
Programming a Text Editor in Go - Intro & Demo,519,1 month ago,15:46
ChatGPT creates a python script to chat with ChatGPT in command prompt,360,2 months ago,28:08
Making a rocking chair,299,2 months ago,18:18
I made a metal bridge,85,2 months ago,4:27
Modeling a 3D rocking chair in blender,98,2 months ago,2:37
Making a welding table,353,2 months ago,19:56
DIY triangular metal shelf for a sharpener,144,2 months ago,22:11
I made a metal door,258,2 months ago,30:02
13 Aiki Jo Kata,144,3 months ago,1:18
I made a text editor in under 50 lines of pure JavaScript,509,3 months ago,2:29
I dropped programming for the sake of welding,667,4 months ago,47:01
