,lang,topic,days,worth
0,8,5,2,0
1,6,5,5,0
2,8,5,6,0
3,8,5,8,0
4,8,5,9,0
5,8,5,11,0
6,8,5,13,0
7,8,5,14,0
8,8,13,21,0
9,6,5,21,0
10,8,13,30,0
11,8,13,30,0
12,8,5,30,0
13,8,13,30,0
14,1,13,30,0
15,1,13,30,0
16,1,13,30,0
17,1,13,30,0
18,1,13,30,0
19,1,13,30,0
20,1,13,30,0
21,1,13,30,0
22,8,13,30,0
23,8,13,30,0
24,8,13,30,0
25,8,13,30,0
26,1,13,30,0
27,1,13,30,0
28,6,5,30,0
29,6,6,30,0
30,6,6,30,0
31,6,6,30,0
32,6,6,30,0
33,6,6,30,0
34,6,6,30,0
35,6,6,30,0
36,6,6,30,0
37,6,6,30,0
38,6,6,30,0
39,6,6,30,0
40,6,6,30,0
41,1,13,60,0
42,8,13,60,0
43,8,13,60,0
44,8,13,60,0
45,8,13,60,0
46,8,13,60,0
47,8,13,60,0
48,8,13,90,0
49,2,6,90,0
50,8,13,120,0
51,8,13,210,0
52,8,13,210,0
53,8,13,210,0
54,8,13,210,0
55,8,13,210,0
56,8,13,210,0
57,8,13,210,0
58,8,13,240,0
59,8,13,240,0
60,8,13,240,0
61,8,13,240,0
62,8,13,240,0
63,8,13,240,0
64,8,13,240,0
65,8,13,240,0
66,6,13,240,0
67,8,13,240,0
68,8,13,240,0
69,2,13,240,0
70,2,13,240,0
71,2,13,240,0
72,2,13,240,0
73,8,13,240,0
74,8,13,240,0
75,2,13,240,0
76,8,13,240,0
77,8,3,240,0
78,8,13,270,0
79,8,13,300,0
80,8,8,300,0
81,8,5,330,0
82,8,13,330,0
83,8,5,330,0
84,8,5,330,0
85,8,5,330,0
86,8,5,330,0
87,8,5,365,0
88,8,13,365,0
89,1,5,365,0
90,8,5,365,0
91,8,5,365,0
92,8,5,365,0
93,8,5,365,0
94,8,6,365,0
95,8,5,365,0
96,8,13,365,0
97,8,5,365,0
98,8,6,365,0
99,1,6,365,1
100,1,13,365,1
101,8,13,365,0
102,8,5,365,0
103,8,13,365,0
104,1,5,365,0
105,1,6,365,0
106,1,6,365,0
107,1,6,365,0
108,8,13,365,0
109,8,6,365,0
110,8,5,365,0
111,8,5,365,1
112,8,5,365,1
113,7,7,365,0
114,8,11,365,0
115,8,7,365,0
116,8,7,365,0
117,8,7,365,0
118,2,13,365,0
119,8,13,365,0
120,7,11,365,0
121,7,11,365,0
122,8,13,365,0
123,8,7,365,0
124,8,13,365,1
125,8,13,365,0
126,8,3,365,0
127,8,3,365,0
128,1,3,365,0
129,1,3,365,0
130,1,3,365,0
131,1,3,365,0
132,8,13,365,0
133,8,13,365,0
134,8,13,365,0
135,8,13,365,0
136,8,13,365,0
137,8,13,365,0
138,8,13,365,0
139,8,13,365,0
140,8,13,365,0
141,2,13,365,0
142,2,13,365,0
143,2,13,365,0
144,2,13,365,0
145,2,13,365,0
146,2,13,365,0
147,2,13,365,0
148,2,13,365,0
149,2,13,365,0
150,8,13,365,0
151,8,13,365,0
152,8,13,365,0
153,8,13,365,0
154,8,13,365,0
155,8,13,365,0
156,8,13,365,0
157,8,13,365,0
158,8,13,365,0
159,8,13,365,0
160,8,13,365,0
161,8,13,365,0
162,8,13,365,0
163,8,13,365,0
164,8,13,365,0
165,8,13,365,0
